"","TNEV","Nev_2010","szervezet_2010","Nev_2006","szervezet_2006","jogalas","megye","kisterseg","terulet","lakonepesseg","lakasok_szama","roma_onkormanyzat","hatranyos","tipus"
"788","Felsőszenterzsébet","Kálmán Elek","Független","Józsa Gyula","Független","község","Zala","Lenti","824",13,"15",0,NA,NA
"789","Felsőszentiván","Vörös Szilárd","Független","Vörös Szilárd","Független","község","Bács-Kiskun","Bajai","5354",1950,"881",1,"HH",2
"790","Felsőszentmárton","Ronta Róbert","Független","Gulyás Pál","MAGYAR SZOCIALISTA PÁRT","község","Baranya","Sellyei","1946",904,"510",0,"LHHK",1
"791","Felsőszölnök","Ropos Gábor","Független","Ropos Gábor","Független","község","Vas","Szentgotthárdi","2356",550,"301",0,NA,NA
"792","Felsőtárkány","Juhász Attila Simon","Fidesz - Magyar Polgári Szövetség","Juhász Attila Simon","Független","község","Heves","Egri","7732",3396,"1270",1,NA,NA
"793","Felsőtelekes","Fecske Sándor","Független","Mészáros Pál","Független","község","Borsod-Abaúj-Zemplén","Kazincbarcikai","845",697,"289",1,"HH",1
"794","Felsőtold","Nagyváradi István","Független","Nagyváradi István","Független","község","Nógrád","Pásztói","1083",145,"107",0,"HH",1
"795","Felsővadász","Fehér Krisztián","Független","Szemán János","Független","község","Borsod-Abaúj-Zemplén","Szikszói","1866",534,"186",1,"LHHK",1
"796","Felsőzsolca","Tóth Lajos József","Független","Fehér Attila","Független","város","Borsod-Abaúj-Zemplén","Miskolci","1625",6869,"2194",1,NA,NA
"797","Fényeslitke","Mártha Mihály Tibor","Független","Mártha Mihály Tibor","Független","község","Szabolcs-Szatmár-Bereg","Kisvárdai","2515",2366,"868",0,"HH",1
"798","Fenyőfő","Klauz Dezső","Független","Klauz Dezső","Független","község","Győr-Moson-Sopron","Pannonhalmai","2965",114,"78",0,NA,NA
"799","Ferencszállás","Jani János","Független","Domokos István","Független","község","Csongrád","Makói","579",608,"272",0,"HH",1
"800","Fertőboz","Tóth József Gyula","Független","Tóth József Gyula","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1363",255,"107",0,NA,NA
"801","Fertőd","Kocsis Ferenc","Független","Fülöp Géza","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Győr-Moson-Sopron","Sopron-Fertődi","4856",3417,"1442",0,NA,NA
"802","Fertőendréd","Rádler István","Független","Rádler István","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1509",596,"245",0,NA,NA
"803","Fertőhomok","Horváth Attila","Független","Horváth Attila","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","1261",626,"223",0,NA,NA
"804","Fertőrákos","Baltigh Márta Gyöngyi","Fidesz - Magyar Polgári Szövetség","PALKOVITS JÁNOS","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","2191",2146,"874",1,NA,NA
"805","Fertőszentmiklós","Horváth Tibor","Fidesz - Magyar Polgári Szövetség","Horváth Tibor","Független","város","Győr-Moson-Sopron","Sopron-Fertődi","3939",3850,"1483",0,NA,NA
"806","Fertőszéplak","Kóbor Attila","Fidesz - Magyar Polgári Szövetség","Bozsvári István","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","2178",1272,"484",0,NA,NA
"807","Fiad","Gyurik Attila","Független","Járfás Sándor","Független","község","Somogy","Tabi","1491",156,"80",1,"LHH",1
"808","Filkeháza","Csizmár Lászlóné","Független","Petercsák László","Független","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","441",101,"42",0,"HH",1
"809","Fityeház","Tatai István","Független","Surdi Krisztina","Független","község","Zala","Nagykanizsai","650",654,"248",0,NA,NA
"810","Foktő","Jakab Ferenc","Független","Jakab Ferenc","Független","község","Bács-Kiskun","Kalocsai","3146",1620,"757",1,"HH",1
"811","Folyás","Mályi Lászlóné","Független","Mályi Lászlóné","Független","község","Hajdú-Bihar","Polgári","5394",342,"153",0,"HH",1
"812","Fonó","Nyerges Péter","Független","Kovács Gyula Lőrinc","Független","község","Somogy","Kaposvári","1061",292,"155",1,"HH",1
"813","Fony","Ivancsó János Sándor","Független","Ivancsó János Sándor","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","4058",361,"212",1,"LHHK",1
"814","Fonyód","Hidvégi József","Fidesz - Magyar Polgári Szövetség","Hidvégi József","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Somogy","Fonyódi","5355",4777,"2604",0,"HH",2
"815","Forráskút","Fodor Imre","Független","Fodor Imre","Független","község","Csongrád","Mórahalomi","3667",2356,"1052",0,"LHH",1
"816","Forró","Rakaczki Zoltán","Független","Gergely Zsolt","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Borsod-Abaúj-Zemplén","Encsi","1903",2466,"870",1,"LHHK",1
"817","Fót","Cselőtei Erzsébet Mária","Fidesz - Magyar Polgári Szövetség","Szent-Iványi Géza","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Pest","Dunakeszi","3740",18864,"6443",0,NA,NA
"818","Földeák","Vass Imre","Független","Vass Imre","Független","község","Csongrád","Makói","3637",3061,"1479",0,"HH",1
"819","Földes","Jeneiné Egri Izabella","Független","Jeneiné Egri Izabella","Független","nagyközség","Hajdú-Bihar","Püspökladányi","6524",4045,"1755",1,"LHH",1
"820","Főnyed",NA,NA,"Marton István","Független","község","Somogy","Marcali","573",71,"53",0,"HH",1
"821","Fulókércs","Pecsenye László","Független","Zoltai László","Független","község","Borsod-Abaúj-Zemplén","Encsi","1863",400,"120",1,"LHHK",1
"822","Furta","Krucsó Antal","Független","Krucsó Antal","MAGYAR SZOCIALISTA PÁRT","község","Hajdú-Bihar","Berettyóújfalui","4285",1125,"599",1,"LHHK",1
"823","Füle",NA,NA,"Gubicza József Lajos","Független","község","Fejér","Székesfehérvári","3032",845,"399",0,NA,NA
"824","Fülesd",NA,NA,"Márton László","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","1505",451,"176",1,"LHHK",1
"825","Fülöp","Hutóczki Péter","Független","Bugyáné Szász Erzsébet","Független","község","Hajdú-Bihar","Hajdúhadházi","5595",1752,"786",0,"LHH",1
"826","Fülöpháza",NA,NA,"Pesti Józsefné","Független","község","Bács-Kiskun","Kecskeméti","4706",825,"481",0,NA,NA
"827","Fülöpjakab","Csáki Béla","Független","Csáki Béla","Független","község","Bács-Kiskun","Kiskunfélegyházai","2316",1143,"498",0,NA,NA
"828","Fülöpszállás","Cseh-Szakáll Sándor","Független","Cseh Szakáll Sándor","Független","község","Bács-Kiskun","Kiskőrösi","9132",2285,"1287",1,"HH",1
"829","Fülpösdaróc",NA,NA,"Kovács Csaba","Független","község","Szabolcs-Szatmár-Bereg","Mátészalkai","425",324,"116",0,"LHHK",1
"830","Fürged","Barkóczi József","Fidesz - Magyar Polgári Szövetség","Barkóczi József","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Tolna","Tamási","2676",686,"252",1,"LHHK",1
"831","Füzér",NA,NA,"Horváth Jenő","Független","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","3750",447,"229",0,"HH",1
"832","Füzérkajata",NA,NA,NA,NA,"község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","1145",109,"77",0,"HH",1
"833","Füzérkomlós","Mester András","Fidesz - Magyar Polgári Szövetség","Sápi Tibor","Független","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","587",320,"143",1,"HH",1
"834","Füzérradvány","Pandák Pál","Független","Czili Mátyás","Független","község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","986",335,"210",1,"HH",1
"835","Füzesabony","Gulyás László","Összefogás Füzesabonyért Egyesület","Laminé Antal Éva","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Heves","Füzesabonyi","4634",7813,"3079",1,"HH",1
"836","Füzesgyarmat","Bere Károly","Fidesz - Magyar Polgári Szövetség","Várkonyi Imre","MAGYAR SZOCIALISTA PÁRT","város","Békés","Szeghalomi","12734",5716,"2411",0,"LHH",1
"837","Fűzvölgy","Szabó István","Független","Schmidt István","Független","község","Zala","Nagykanizsai","314",140,"51",0,NA,NA
"838","Gáborján","Majosi Gyula","Független","Majosi Gyula","Független","község","Hajdú-Bihar","Berettyóújfalui","2646",860,"386",0,"LHHK",1
"839","Gáborjánháza","Szekeres István","Független","Bekő Lajos","Független","község","Zala","Lenti","507",74,"63",0,NA,NA
"840","Gacsály","Petra András","Független","Petra András","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","1982",885,"307",1,"LHHK",1
"841","Gadács",NA,NA,NA,NA,"község","Somogy","Kaposvári","386",81,"63",0,"HH",1
"842","Gadány","Ősz János András","Független","Ősz János","Független","község","Somogy","Marcali","1970",385,"160",0,"HH",1
"843","Gadna","Lakatos Dezső","Független","Szemán Emil","Független","község","Borsod-Abaúj-Zemplén","Szikszói","809",270,"83",0,"LHHK",1
"844","Gádoros","Prozlik László János","Gádorosi Hagyományőrző és Faluszépítő Egyesület","Prozlik László","HAGYOMÁNYŐRZŐ ÉS FALUSZÉPÍTŐ EGYESÜLET","nagyközség","Békés","Orosházai","3813",3630,"1871",1,"HH",1
"845","Gagyapáti","Afonyi László","Független","Rakaczki József","Független","község","Borsod-Abaúj-Zemplén","Encsi","326",13,"14",0,"LHHK",1
"846","Gagybátor","Tóth Istvánné","Független","Balla Ferenc","Független","község","Borsod-Abaúj-Zemplén","Szikszói","1877",223,"118",1,"LHHK",1
"847","Gagyvendégi","Nagy Miklós","Független","Kerekes János","Független","község","Borsod-Abaúj-Zemplén","Szikszói","1232",201,"108",0,"LHHK",1
"848","Galambok","Kiss-Tóth László Árpád","Független","Kiss-Tóth László Árpád","Független","község","Zala","Zalakarosi","2591",1288,"532",1,"HH",1
"849","Galgaguta","Orgoványi László","Független","Orgoványi László","Független","község","Nógrád","Balassagyarmati","1589",620,"303",0,"HH",2
"850","Galgagyörk","Matejcsok Zsolt","Független","Szabadi Mónika","Független","község","Pest","Váci","1471",1053,"347",1,NA,NA
"851","Galgahévíz","Vanó András","Független","Basa Antal Zoltán","Független","község","Pest","Aszódi","3118",2520,"983",1,NA,NA
"852","Galgamácsa","Vircsák Mihály","Független","Pesti Klára Edit","Független","község","Pest","Veresegyházi","4331",1959,"743",0,NA,NA
"853","Gálosfa",NA,NA,"Tóth József","Független","község","Somogy","Kaposvári","1976",295,"119",0,"HH",1
"854","Galvács","Slezsák József","Független","Gregó Lajos","Független","község","Borsod-Abaúj-Zemplén","Edelényi","1504",92,"79",0,"LHHK",1
"855","Gamás",NA,NA,"Jeszenszky János","Független","község","Somogy","Fonyódi","4292",735,"387",1,"HH",2
"856","Ganna","Vesztergom József","Független","Vesztergom József","Független","község","Veszprém","Pápai","1547",238,"96",0,NA,NA
"857","Gánt","Spergelné Rádl Ibolya","Fidesz - Magyar Polgári Szövetség","Kovács László","Független","község","Fejér","Bicskei","5815",854,"279",0,NA,NA
"858","Gara","Faa Béla","Független","Faa Béla","Független","község","Bács-Kiskun","Bajai","5996",2476,"952",1,"HH",2
"859","Garáb","Kovács Zoltán","Független","Kovács Zoltán","Független","község","Nógrád","Pásztói","820",62,"67",0,"HH",1
"860","Garabonc",NA,NA,"Koma László","Független","község","Zala","Zalakarosi","1856",737,"263",1,"HH",1
"861","Garadna","Pauló Tiborné","Független","Abkorovics László","Független","község","Borsod-Abaúj-Zemplén","Encsi","978",441,"194",0,"LHHK",1
"862","Garbolc","Nagy Roland","Fidesz - Magyar Polgári Szövetség","Nagy Roland","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","726",150,"72",0,"LHHK",1
"863","Gárdony","Tóth István","Fidesz - Magyar Polgári Szövetség","Tóth István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Fejér","Gárdonyi","6350",9742,"3781",0,NA,NA
"864","Garé","Tóth Béla","Független","Vig Imre","Független","község","Baranya","Siklósi","853",315,"113",1,"HH",1
"865","Gasztony",NA,NA,"Kóczán István","Független","község","Vas","Szentgotthárdi","1427",436,"207",0,NA,NA
"866","Gátér",NA,NA,"Urbán Istvánné","Független","község","Bács-Kiskun","Kiskunfélegyházai","3089",953,"493",0,NA,NA
"867","Gávavencsellő","Vojtó Mihályné","Független","Karakó László","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","nagyközség","Szabolcs-Szatmár-Bereg","Ibrány-Nagyhalászi","6683",3450,"1663",1,"LHH",1
"868","Géberjén","Kovács Sándor","Fidesz - Magyar Polgári Szövetség","Kovács Sándor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Szabolcs-Szatmár-Bereg","Mátészalkai","538",522,"209",0,"LHHK",1
"869","Gecse","Istenes Gyula","Független","Kiss Sándor","Független","község","Veszprém","Pápai","934",408,"202",0,NA,NA
"870","Géderlak",NA,NA,"Sill László","Független","község","Bács-Kiskun","Kalocsai","1874",988,"480",0,"HH",1
"871","Gégény","Zakor Ildikó","Független","Tenkely Józsefné","Független","község","Szabolcs-Szatmár-Bereg","Ibrány-Nagyhalászi","2344",1920,"737",1,"LHH",1
"872","Gelej","Demeterné Nyeste Erzsébet","Független","Demeterné Nyeste Erzsébet","Független","község","Borsod-Abaúj-Zemplén","Mezőcsáti","3212",602,"305",0,"LHHK",1
"873","Gelénes","Fülöp Károly","Független","Fülöp Károly","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","2055",503,"243",0,"LHHK",1
"874","Gellénháza","Farkas Imre Józsefné","Független","Gellén Endre","Független","község","Zala","Zalaegerszegi","524",1579,"643",0,NA,NA
"875","Gelse","Szegedi Ferenc","Független","Rácz József","SZDSZ- A MAGYAR LIBERÁLIS PÁRT","község","Zala","Zalakarosi","2246",1053,"462",1,"HH",1
"876","Gelsesziget","Magyar Győző","Független","Magyar Győző","Független","község","Zala","Nagykanizsai","498",268,"101",0,NA,NA
"877","Gemzse","Varga Sándor","Fidesz - Magyar Polgári Szövetség","Miklovich Károly","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","1360",853,"302",1,"LHHK",1
"878","Gencsapáti","Kovács Vince","Független","Bodorkós Ferenc","Független","község","Vas","Szombathelyi","2239",2867,"952",0,NA,NA
"879","Gérce","Kovács László","Független","Kovács László","Független","község","Vas","Sárvári","1830",1094,"507",0,NA,NA
"880","Gerde","Vargáné Papp Györgyi Katalin","Független","Rozmer Béla","Független","község","Baranya","Szentlőrinci","1276",521,"190",1,"HH",1
"881","Gerendás","Lengyel Zsolt András","Fidesz - Magyar Polgári Szövetség","Gajdács János","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Békés","Orosházai","4078",1335,"717",0,"HH",1
"882","Gerényes",NA,NA,"Léder Szilveszter","Független","község","Baranya","Sásdi","1234",241,"99",1,"LHHK",1
"883","Geresdlak","Habjánecz Attila Tibor","Független","Habjánecz Tibor","MAGYAR DEMOKRATA FÓRUM","község","Baranya","Mohácsi","2528",768,"414",0,"HH",1
"884","Gerjen","Máté Dénes","Független","Molnár József","Független","község","Tolna","Paksi","3628",1205,"535",1,NA,NA
"885","Gersekarát","Sály Gyula","Fidesz - Magyar Polgári Szövetség","Herczeg Gyula","Független","község","Vas","Vasvári","1992",643,"332",0,"HH",1
"886","Geszt","Fábián Zsuzsánna","Független","Fábián Zsuzsánna","Független","község","Békés","Sarkadi","5139",746,"364",1,"LHHK",1
"887","Gesztely","Simon István","Független","Hompoth Imre","Független","község","Borsod-Abaúj-Zemplén","Miskolci","2882",2792,"951",0,NA,NA
"888","Geszteréd","Szűcs Zsolt","Független","Vitkovics Béla","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Szabolcs-Szatmár-Bereg","Nagykállói","3351",1631,"802",0,"HH",1
"889","Gétye","Talabér Lászlóné","Független","Talabér Lászlóné","Független","község","Zala","Keszthelyi","666",119,"93",0,"HH",4
"890","Gibárt","Matkovics Lajos","Független","Matkovics Lajos","Független","község","Borsod-Abaúj-Zemplén","Encsi","533",380,"159",0,NA,NA
"891","Gic","Horváth Tibor","Független","Horváth Tibor","Független","község","Veszprém","Pápai","1968",438,"152",0,NA,NA
"892","Gige",NA,NA,"Koszti Sándor","Független","község","Somogy","Kadarkúti","1319",352,"136",1,"LHHK",1
"893","Gilvánfa","Bogdán László","Független","Bogdán János","Független","község","Baranya","Sellyei","1543",371,"99",1,"LHHK",1
"894","Girincs","Baráth László","Független","Baráth László","Független","község","Borsod-Abaúj-Zemplén","Tiszaújvárosi","1120",896,"294",1,NA,NA
"895","Gógánfa","Damjanovics József","Független","Damjanovics József","Független","község","Veszprém","Sümegi","1317",761,"312",0,"HH",1
"896","Golop","Kiss Lajos","Független","Kiss Lajos","Független","község","Borsod-Abaúj-Zemplén","Szerencsi","943",555,"301",0,"LHHK",1
"897","Gomba","Lehota Vilmos","Független","Lehota Vilmos","Független","község","Pest","Monori","3971",2962,"1057",1,NA,NA
"898","Gombosszeg","Török Zoltán","Független","Török Zoltán","Független","község","Zala","Zalaegerszegi","216",51,"29",0,NA,NA
"899","Gór","Gángliné Schreiner Tünde Éva","Független","Svendor Károly","Független","község","Vas","Csepregi","1099",305,"178",0,NA,NA
"900","Gordisa",NA,NA,"Lukácsné Kislaki Zsuzsanna","Független","község","Baranya","Siklósi","1088",310,"104",1,"HH",4
"901","Gosztola","Balogh Ferenc","Független","Balogh Ferenc","Független","község","Zala","Lenti","698",36,"45",0,NA,NA
"902","Göd","Markó József","Fidesz - Magyar Polgári Szövetség","Markó József","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Pest","Dunakeszi","2224",18379,"6800",0,NA,NA
"903","Gödöllő","Gémesi György","GÖDÖLLŐI LOKÁLPATRIÓTA KLUB","Gémesi György","GÖDÖLLŐI  LOKÁLPATRIÓTA KLUB","város","Pest","Gödöllői","6192",34396,"12228",1,NA,NA
"904","Gödre","Gelencsér Gábor","Független","Cseke Györgyi","Független","község","Baranya","Sásdi","3993",859,"407",1,"LHHK",1
"905","Gölle","Kovács Ernő","Független","Kovács Ernő","Független","község","Somogy","Kaposvári","4469",940,"436",1,"HH",1
"906","Gömörszőlős","É.Kovács Judit Éva","Független","Kovács László János","Független","község","Borsod-Abaúj-Zemplén","Ózdi","877",74,"48",0,"LHHK",1
"907","Gönc","Bánszkyné Szepesi Éva","Független","Molnár János","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","3730",1948,"951",0,"LHHK",1
"908","Göncruszka","Urbán József","Független","Urbán József","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","1673",627,"326",1,"LHHK",1
"909","Gönyű","Major Gábor József","Független","Major Gábor","Független","község","Győr-Moson-Sopron","Győri","2163",3099,"1138",0,NA,NA
"910","Görbeháza","Giricz Béla Lászlóné","Független","Pusztai Adél","Független","község","Hajdú-Bihar","Polgári","8020",2430,"1072",0,"HH",1
"911","Görcsöny","Koncz István Szabolcs","Független","Koncz István Szabolcs","Független","község","Baranya","Pécsi","1852",1668,"534",1,NA,NA
"912","Görcsönydoboka","Troszt József","Független","Troszt József","Független","község","Baranya","Mohácsi","951",403,"186",0,"HH",1
"913","Görgeteg",NA,NA,"Fadgyas Attila József","Független","község","Somogy","Nagyatádi","3350",1167,"448",1,"HH",1
"914","Gősfa","Farkas Tiborné","Független","Farkas Tiborné","Független","község","Zala","Zalaegerszegi","1045",330,"131",0,NA,NA
"915","Grábóc",NA,NA,"Tüske László Károly","Független","község","Tolna","Bonyhádi","1373",174,"92",0,"HH",4
"916","Gulács","Vass Albert János","Független","Vass Albert János","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","2335",782,"341",1,"LHHK",1
"917","Gutorfölde","Nyakas István","Független","Nyakas István","Független","község","Zala","Lenti","2485",1036,"508",0,NA,NA
"918","Gyál","Pápai Mihály","Fidesz - Magyar Polgári Szövetség","Gyimesi István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Pest","Gyáli","2493",23431,"8280",0,NA,NA
"919","Gyalóka","Kincse Attila","Független","Tóth Jánosné","Független","község","Győr-Moson-Sopron","Sopron-Fertődi","393",67,"51",0,NA,NA
"920","Gyanógeregye","Sejber Tiborné","Független","Hersits László","Független","község","Vas","Szombathelyi","707",154,"67",0,NA,NA
"921","Gyarmat","Szabados Péter","Független","Baráth Béla","Független","község","Győr-Moson-Sopron","Téti","2245",1189,"558",0,"HH",2
"922","Gyékényes","Kisiván István","Független","Csordás József","Független","község","Somogy","Csurgói","3376",949,"469",1,"LHHK",1
"923","Gyenesdiás","Gál Lajos","Független","Gál Lajos","Független","nagyközség","Zala","Keszthelyi","1850",3681,"1373",0,NA,NA
"924","Gyepükaján","Lovasi Attila","Független","Lovasi Attila","Független","község","Veszprém","Sümegi","911",337,"158",0,"HH",1
"925","Gyermely","Kókai Rita","Független","Sáros György","Független","község","Komárom-Esztergom","Tatabányai","4545",1443,"520",0,NA,NA
"926","Gyód","Schmidt Ferenc József","Független","Schmidt Ferenc","Független","község","Baranya","Pécsi","325",671,"228",1,NA,NA
"927","Gyomaendrőd","Várfi András","Fidesz - Magyar Polgári Szövetség","Várfi András","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Békés","Szarvasi","30394",13894,"6477",1,"HH",1
"928","Gyóró","Ötvös László István","Független","Ötvös László","Független","község","Győr-Moson-Sopron","Kapuvár-Beledi","1164",401,"171",0,NA,NA
"929","Gyömöre","Németh Csaba","Független","Németh Csaba","Független","község","Győr-Moson-Sopron","Téti","2049",1245,"510",1,"HH",2
"930","Gyömrő","Gyenes Levente Zoltán","GYÖMRŐ 2000 KÖR","Gyenes Levente","GYÖMRŐ 2000 KÖR","város","Pest","Monori","2651",16442,"5872",1,NA,NA
"931","Gyöngyfa","Dörömböző Béla","Független","Dörömböző Béla","AZ EURÓPAI UNIÓ ROMA IFJÚSÁGÁÉRT EGYESÜLET","község","Baranya","Szentlőrinci","878",154,"53",1,"HH",1
"932","Gyöngyös","Faragó László","Fidesz - Magyar Polgári Szövetség","Hiesz György","MAGYAR SZOCIALISTA PÁRT","város","Heves","Gyöngyösi","5531",32640,"14461",1,NA,NA
"933","Gyöngyösfalu","Tar János","Független","Tar János","Független","község","Vas","Kőszegi","965",1116,"398",0,NA,NA
"934","Gyöngyöshalász","Szabó Ferenc","Független","Hegedűs Gyula","Független","község","Heves","Gyöngyösi","2713",2550,"1043",0,NA,NA
"935","Gyöngyösmellék","Schán Mária","Független","Bálizs István","Független","község","Baranya","Szigetvári","1002",285,"108",1,"LHHK",1
"936","Gyöngyösoroszi","Vernyihel Lívia","Független","Vernyihel Lívia","Független","község","Heves","Gyöngyösi","2139",1506,"577",1,NA,NA
"937","Gyöngyöspata","Tábi László","Független","Molnár József","Független","község","Heves","Gyöngyösi","6075",2520,"1068",1,NA,NA
"938","Gyöngyössolymos","Szolcsák Gyula Zsolt","Független","Szolcsák Gyula Zsolt","Független","község","Heves","Gyöngyösi","6485",3011,"1292",0,NA,NA
"939","Gyöngyöstarján","Nagy Károly","Független","Nagy Károly","Független","község","Heves","Gyöngyösi","4639",2485,"985",0,NA,NA
"940","Gyönk","Katz Gyula István","Fidesz - Magyar Polgári Szövetség","Fekete József","Független","város","Tolna","Tamási","3812",2009,"704",1,"LHHK",1
"941","Győr","Borkai Zsolt","Fidesz - Magyar Polgári Szövetség","Borkai Zsolt","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","megyeszékhely, megyei jogú város","Győr-Moson-Sopron","Győri","17462",131267,"56446",1,NA,NA
"942","Győrasszonyfa","Valiczkó Mihály","Független","Király Bálint","Független","község","Győr-Moson-Sopron","Pannonhalmai","648",498,"206",0,NA,NA
"943","Györe","Csoma József","Független","Csoma József","Független","község","Tolna","Bonyhádi","1132",677,"253",0,NA,NA
"944","Györgytarló","Oláh István","Független","Oláh István","Független","község","Borsod-Abaúj-Zemplén","Sárospataki","3019",585,"224",0,"LHHK",1
"945","Györköny","Braun Zoltán","Független","Braun Zoltán","Független","község","Tolna","Paksi","3160",938,"472",0,NA,NA
"946","Győrladamér",NA,NA,"Tatai Ernő Zoltánné","Független","község","Győr-Moson-Sopron","Győri","861",1576,"519",0,NA,NA
"947","Győröcske","Batári Ferenc István","Független","Batári Ferenc István","Független","község","Szabolcs-Szatmár-Bereg","Záhonyi","208",120,"55",0,"HH",1
"948","Győrság",NA,NA,"Ferenczi Zsolt","Független","község","Győr-Moson-Sopron","Pannonhalmai","820",1497,"579",0,NA,NA
"949","Győrsövényház",NA,NA,"Hokstok Imre","Független","község","Győr-Moson-Sopron","Csornai","2421",754,"318",0,"HH",2
"950","Győrszemere",NA,NA,"Horváth Gyula","Független","község","Győr-Moson-Sopron","Téti","3310",3178,"1157",1,"HH",2
"951","Győrtelek","Halmi József","MAGYAR SZOCIALISTA PÁRT","Halmi József","MAGYAR SZOCIALISTA PÁRT","község","Szabolcs-Szatmár-Bereg","Mátészalkai","1478",1591,"481",0,"LHHK",1
"952","Győrújbarát",NA,NA,"Juhászné Árpási Irma","Független","község","Győr-Moson-Sopron","Győri","3361",6169,"2131",0,NA,NA
"953","Győrújfalu",NA,NA,"Bognár József","Független","község","Győr-Moson-Sopron","Győri","737",1494,"539",0,NA,NA
"954","Győrvár","Pintyőke István","Független","Pintyőke István","Független","község","Vas","Vasvári","1659",630,"289",1,"HH",1
"955","Győrzámoly","Horváth Gábor","Független","Horváth Gábor","Független","község","Győr-Moson-Sopron","Győri","2639",2522,"781",0,NA,NA
"956","Gyugy","Jelenka György","Fidesz - Magyar Polgári Szövetség","Jelenka György","SOMOGYÉRT EGYESÜLET","község","Somogy","Lengyeltóti","1531",269,"140",0,"LHHK",1
"957","Gyula","Görgényi Ernő","Fidesz - Magyar Polgári Szövetség","Perjési Klára","MAGYAR SZOCIALISTA PÁRT","város","Békés","Gyulai","25580",31928,"13704",1,NA,NA
"958","Gyulaháza","Bardi Béla László","Független","Bardi Béla László","Független","község","Szabolcs-Szatmár-Bereg","Kisvárdai","2209",1900,"691",0,"HH",1
"959","Gyulaj","Dobos Károlyné","Független","Dobos Károlyné","Független","község","Tolna","Dombóvári","7082",971,"362",1,"HH",1
"960","Gyulakeszi","Tóth József","Független","Tóth József","Független","község","Veszprém","Tapolcai","967",709,"255",0,"HH",2
"961","Gyúró","Tóth Béla","Független","Tóth Béla","Független","község","Fejér","Ercsi","2437",1250,"454",0,NA,NA
"962","Gyügye","Kiss Ferenc Árpád","Független","Kiss Ferenc","Független","község","Szabolcs-Szatmár-Bereg","Fehérgyarmati","433",233,"138",0,"LHHK",1
"963","Gyüre","Zsoldos Tibor Attila","Független","Zsoldos Tibor","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","1587",1207,"450",0,"LHHK",1
"964","Gyűrűs","Bertalan Tibor","Független","Krasznai Ákos György","Független","község","Zala","Zalaegerszegi","419",85,"55",0,NA,NA
"965","Hács","Molnárné Kubik Zsuzsanna","Fidesz - Magyar Polgári Szövetség","Mátrai Gabriella","Független","község","Somogy","Lengyeltóti","2128",388,"192",0,"LHHK",1
"966","Hagyárosbörönd","Zsigray József","Független","Miszori Andrea Mária","Független","község","Zala","Zalaegerszegi","1125",305,"126",0,NA,NA
"967","Hahót","Szabó Zsolt","Független","Kámán Péter Géza","Független","község","Zala","Nagykanizsai","3901",1071,"493",0,NA,NA
"968","Hajdúbagos","Szabó Lukács Imre","Független","Istenes Gyula","Független","község","Hajdú-Bihar","Derecske-Létavértesi","3744",1986,"854",1,"LHH",1
